x  y
134.0	184.0
769.0	273.0
930.0	103.0
812.0	3.0
289.0	994.0
847.0	48.0
627.0	428.0
761.0	901.0
497.0	869.0
837.0	489.0
466.0	690.0
566.0	192.0
826.0	477.0
1.0	776.0
365.0	405.0
33.0	932.0
774.0	899.0
158.0	502.0
998.0	192.0
117.0	352.0
126.0	884.0
391.0	403.0
563.0	132.0
155.0	819.0
636.0	734.0
449.0	161.0
857.0	468.0
706.0	325.0
238.0	477.0
718.0	622.0
905.0	137.0
386.0	769.0
689.0	587.0
596.0	22.0
969.0	263.0
874.0	426.0
708.0	562.0
33.0	321.0
519.0	652.0
373.0	164.0
390.0	133.0
671.0	664.0
652.0	604.0
444.0	259.0
158.0	190.0
341.0	655.0
680.0	34.0
602.0	498.0
140.0	952.0
145.0	436.0
973.0	669.0
759.0	161.0
851.0	484.0
303.0	807.0
836.0	164.0
586.0	970.0
577.0	396.0
545.0	949.0
705.0	193.0
924.0	15.0
418.0	429.0
649.0	300.0
156.0	15.0
835.0	744.0
15.0	901.0
755.0	612.0
670.0	717.0
434.0	406.0
622.0	468.0
252.0	376.0
505.0	649.0
874.0	104.0
517.0	244.0
486.0	467.0
7.0	604.0
84.0	834.0
150.0	473.0
211.0	597.0
525.0	979.0
646.0	221.0
39.0	335.0
667.0	77.0
893.0	140.0
589.0	75.0
578.0	359.0
113.0	254.0
379.0	654.0
614.0	532.0
80.0	359.0
28.0	637.0
307.0	139.0
485.0	37.0
804.0	304.0
782.0	560.0
890.0	639.0
754.0	952.0
304.0	910.0
750.0	569.0
830.0	283.0
381.0	532.0
