x  y
618.0	755.0
553.0	797.0
70.0	383.0
966.0	497.0
178.0	42.0
216.0	390.0
280.0	457.0
976.0	812.0
528.0	153.0
912.0	18.0
939.0	854.0
755.0	643.0
466.0	414.0
202.0	138.0
806.0	143.0
847.0	311.0
84.0	159.0
164.0	996.0
842.0	642.0
94.0	505.0
434.0	530.0
956.0	968.0
594.0	208.0
405.0	278.0
106.0	343.0
387.0	616.0
530.0	453.0
720.0	256.0
153.0	477.0
675.0	874.0
403.0	294.0
176.0	670.0
429.0	640.0
818.0	770.0
128.0	102.0
367.0	493.0
239.0	423.0
916.0	720.0
820.0	364.0
648.0	508.0
226.0	924.0
855.0	62.0
700.0	817.0
627.0	158.0
688.0	885.0
608.0	272.0
992.0	326.0
942.0	535.0
626.0	276.0
190.0	221.0
